Index Date,Price
1,69.209076
2,66.087135
3,67.264252
4,71.804611
5,71.614494
6,70.188797
7,72.418755
8,71.234299
9,70.334984
10,70.73716
11,72.89399
12,77.865677
13,83.692833
14,83.956009
15,81.886932
16,82.37677
17,83.97065
18,83.159103
19,84.957687
20,84.182686
21,86.646614
22,84.372795
23,83.129875
24,84.709091
25,84.73838
26,86.158455
27,85.631409
28,84.328415
29,81.846863
30,82.39592
31,83.142548
32,84.767639
33,84.233246
34,85.968132
35,87.139359
36,86.385391
37,85.938866
38,87.549301
39,86.231667
40,84.379662
41,82.461784
42,81.839561
43,82.637444
44,83.18647
45,85.62413
46,86.012054
47,85.829056
48,84.987236
49,85.909554
50,85.829056
51,85.309334
52,84.731033
53,83.157196
54,83.647614
55,84.064911
56,82.783875
57,82.425194
58,82.622787
59,82.461784
60,82.747253
61,83.098625
62,84.255203
63,83.084007
64,83.706215
65,82.703323
66,82.059174
67,77.959869
68,76.656868
69,74.63652
70,76.020027
71,78.508881
72,79.445885
73,78.926094
74,79.445885
75,76.334808
76,76.129837
77,77.374245
78,77.484047
79,76.503174
80,76.781326
81,77.593849
82,76.642212
83,77.484047
84,77.015556
85,78.369781
86,79.643517
87,79.189667
88,77.967171
89,77.776863
90,76.369522
91,76.28891
92,76.926559
93,77.593613
94,77.842834
95,76.970581
96,77.512962
97,76.66272
98,76.303551
99,74.683655
100,76.200951
101,75.497269
102,78.421883
103,78.326614
104,76.926559
105,76.325554
106,73.562202
107,73.261658
108,74.390472
109,73.554886
110,71.832352
111,70.798859
112,70.710892
113,68.416641
114,70.659599
115,70.366386
116,68.46064
117,66.334999
118,69.486786
119,69.230278
120,66.921394
121,65.96846
122,67.229218
123,67.954865
124,68.731857
125,71.062706
126,71.32663
127,71.847031
128,72.198868
129,71.202003
130,71.282631
131,72.858528
132,73.914001
133,74.764297
134,74.654358
135,75.423988
136,74.221924
137,75.240723
138,77.146538
139,77.556961
140,79.579994
141,81.111931
142,81.478439
143,79.616631
144,79.638626
145,79.213531
146,80.547539
147,80.261665
148,80.606133
149,83.274208
150,83.553101
151,83.523788
152,83.721909
153,84.294327
154,85.644707
155,83.920052
156,84.213585
157,84.030136
158,84.397064
159,84.719978
160,83.912712
161,84.653938
162,85.373169
163,83.809952
164,82.305511
165,83.97876
166,84.830055
167,83.758598
168,85.600655
169,89.093956
170,88.16925
171,88.360077
172,87.816994
173,89.167351
174,90.414986
175,88.250008
176,88.873802
177,89.049942
178,89.681068
179,90.921341
180,90.048019
181,89.534302
182,89.130676
183,89.827866
184,90.635139
185,90.194801
186,88.771042
187,89.167351
188,90.752548
189,92.176254
190,91.038765
191,91.515808
192,91.361694
193,89.637032
194,88.294029
195,86.635475
196,87.222527
197,86.158409
198,87.993141
199,83.846687
200,81.094589
201,79.186493
202,79.788254
203,80.199242
204,79.369965
205,75.590416
206,77.461853
207,79.179131
208,79.259865
209,78.379219
210,78.012268
211,78.357651
212,76.358849
213,77.152473
214,78.90876
215,78.313545
216,79.415848
217,79.283539
218,75.609283
219,74.440857
220,72.978493
221,70.825386
222,72.346542
223,72.236305
224,71.391197
225,71.890907
226,72.104027
227,75.704803
228,77.82122
229,77.652184
230,78.11515
231,76.211884
232,77.22596
233,77.336197
234,79.731834
235,78.761803
236,78.335579
237,78.475212
238,78.151878
239,78.989594
240,77.527267
241,78.467896
242,77.600746
243,76.101624
244,75.616631
245,75.976746
246,76.424957
247,75.587242
248,74.183662
249,73.456184
250,74.102806
251,71.464714
252,64.233719
253,64.476204
254,65.409477
255,61.867481
256,62.903622
257,62.719906
258,63.344555
259,62.323086
260,65.365402
261,65.402145
262,64.61586
263,64.174911
264,63.564995
265,63.71933
266,62.249615
267,61.647045
268,61.551479
269,61.948322
270,61.625027
271,60.096485
272,55.849022
273,56.216446
274,60.707855
275,58.85239
276,58.668308
277,60.516407
278,62.938869
279,62.217281
280,62.916767
281,63.093502
282,62.180481
283,61.444149
284,61.849121
285,62.106861
286,61.186466
287,60.435452
288,60.082016
289,60.560608
290,59.235256
291,57.512337
292,58.39587
293,59.308887
294,58.653606
295,57.652245
296,56.547802
297,55.583199
298,54.964748
299,55.664223
300,56.083916
301,56.798115
302,55.914585
303,54.007538
304,52.704304
305,50.620579
306,51.320049
307,50.510128
308,51.57777
309,52.939899
310,53.013554
311,49.77383
312,50.495392
313,51.916466
314,54.11797
315,52.498116
316,51.297955
317,50.627953
318,51.106506
319,50.959259
320,52.277248
321,50.812019
322,52.048996
323,53.050369
324,53.013554
325,50.436485
326,49.368877
327,51.202251
328,51.06234
329,48.890263
330,52.40979
331,52.858932
332,51.835468
333,50.252407
334,49.979988
335,48.588387
336,49.994709
337,51.042572
338,52.843124
339,53.005451
340,52.961189
341,53.057133
342,55.285675
343,56.451576
344,58.55468
345,60.87178
346,59.971516
347,59.772278
348,60.5028
349,59.329529
350,58.606346
351,57.52898
352,56.126938
353,56.54015
354,55.625118
355,53.389187
356,54.40752
357,53.263744
358,54.016445
359,54.975739
360,55.787487
361,54.75436
362,53.034992
363,53.499874
364,53.367065
365,52.946445
366,51.322994
367,47.817833
368,47.168442
369,46.762592
370,44.09129
371,46.496941
372,45.766396
373,44.541428
374,43.028656
375,45.139133
376,44.002739
377,44.275761
378,41.766811
379,41.958675
380,42.098869
381,40.637772
382,42.489975
383,47.168442
384,46.799488
385,50.533405
386,47.891628
387,53.278503
388,54.791256
389,55.750561
390,54.968327
391,55.049545
392,53.204716
393,55.02002
394,56.49588
395,56.628674
396,58.052891
397,58.252155
398,59.329529
399,60.879181
400,60.274063
401,60.281487
402,58.366707
403,57.361275
404,57.139484
405,58.514587
406,58.66243
407,59.675259
408,59.150341
409,58.536747
410,57.93792
411,60.33321
412,62.765457
413,62.418018
414,63.726521
415,62.883766
416,64.835457
417,64.258842
418,64.539734
419,62.994637
420,61.870937
421,61.405182
422,60.858112
423,58.839828
424,59.734383
425,60.207569
426,59.268642
427,59.142956
428,60.340599
429,59.372147
430,58.499775
431,58.152328
432,58.987698
433,59.33519
434,58.965553
435,58.034039
436,57.191235
437,56.370647
438,57.294743
439,59.564358
440,60.362789
441,61.796993
442,63.578686
443,62.240578
444,64.317955
445,64.820671
446,64.695
447,65.486046
448,64.754158
449,63.615646
450,60.104027
451,59.542179
452,58.921192
453,59.919224
454,58.396286
455,57.974899
456,59.2243
457,59.379528
458,57.886154
459,57.812244
460,57.797482
461,56.991634
462,57.117313
463,57.413609
464,57.109901
465,57.709904
466,57.324738
467,56.665474
468,56.191414
469,57.369152
470,58.761734
471,58.895073
472,58.628399
473,59.220993
474,58.191387
475,58.569134
476,57.332096
477,57.24324
478,57.739525
479,57.28027
480,56.813629
481,57.576565
482,57.087688
483,57.702496
484,56.072903
485,55.813641
486,55.68771
487,58.109913
488,58.517277
489,61.080181
490,61.087608
491,60.739475
492,60.887604
493,62.887573
494,60.924637
495,61.813526
496,60.406143
497,60.332058
498,59.88765
499,58.095078
500,58.317307
501,60.339474
502,60.672802
503,59.843185
504,59.606159
505,59.309853
506,58.30249
507,58.524704
508,58.332096
509,59.309853
510,61.324623
511,61.391312
512,62.413486
513,61.746845
514,63.428295
515,63.517181
516,63.109795
517,62.131996
518,63.050545
519,63.450531
520,62.887573
521,63.620872
522,64.865311
523,64.087555
524,64.820862
525,64.323647
526,63.856174
527,64.969269
528,66.045273
529,66.772537
530,65.82267
531,66.713165
532,66.037865
533,64.152969
534,63.648396
535,63.952629
536,63.878437
537,63.269909
538,65.073166
539,64.984108
540,64.828285
541,65.332893
542,64.806015
543,62.201302
544,62.520409
545,60.776505
546,59.403648
547,60.850716
548,60.635521
549,62.312622
550,62.297787
551,61.407269
552,62.705929
553,62.557487
554,62.854336
555,62.743011
556,63.017601
557,61.726395
558,62.060318
559,61.214325
560,62.594601
561,61.904476
562,61.22176
563,62.03064
564,62.884018
565,62.297787
566,63.885841
567,64.004585
568,63.425743
569,62.357151
570,62.995335
571,63.388653
572,64.145569
573,64.368164
574,61.8377
575,62.127075
576,61.22176
577,60.739426
578,61.073372
579,60.48711
580,62.000969
581,61.251442
582,60.702312
583,60.07896
584,60.294167
585,60.30901
586,60.205101
587,59.255253
588,59.299854
589,59.998817
590,60.140095
591,60.244194
592,60.60854
593,60.378036
594,60.645729
595,60.816742
596,62.10313
597,61.604935
598,61.753654
599,61.604935
600,61.694157
601,60.943142
602,61.344669
603,60.972893
604,60.898548
605,60.98032
606,63.768738
607,64.192551
608,65.367409
609,64.65358
610,66.252274
611,66.490189
612,65.315369
613,65.374832
614,65.954826
615,65.798653
616,67.1371
617,67.389931
618,68.408607
619,69.36039
620,67.955032
621,67.917854
622,66.475327
623,66.482758
624,66.215065
625,66.512482
626,65.67968
627,67.181709
628,66.980965
629,67.397362
630,67.798889
631,68.185539
632,68.899368
633,68.74321
634,68.906799
635,69.300888
636,68.94397
637,68.958855
638,66.386093
639,66.3489
640,66.177879
641,66.125862
642,65.776367
643,65.54586
644,65.746628
645,65.820999
646,66.847115
647,66.430717
648,66.267128
649,66.534821
650,66.683533
651,66.28199
652,65.798653
653,66.551048
654,65.746559
655,67.005432
656,66.565933
657,67.556686
658,67.854645
659,67.228951
660,66.893715
661,66.260529
662,66.595749
663,65.843369
664,66.022148
665,66.789398
666,66.618103
667,66.975647
668,67.444946
669,67.795059
670,67.601372
671,67.266151
672,68.100487
673,67.519432
674,67.9366
675,67.511993
676,68.331421
677,68.83049
678,69.061417
679,68.614456
680,70.007484
681,69.575424
682,69.076332
683,69.381721
684,69.567963
685,69.12101
686,68.73365
687,69.202972
688,69.664825
689,69.001816
690,69.039078
691,68.197304
692,69.31469
693,69.322121
694,69.113594
695,69.307274
696,67.944038
697,68.197304
698,66.819229
699,67.273621
700,70.03727
701,71.005669
702,72.331642
703,72.778587
704,72.637009
705,72.927574
706,74.380142
707,73.597977
708,72.540192
709,73.009491
710,73.918297
711,74.037491
712,74.491875
713,74.633415
714,73.642647
715,73.821747
716,73.829208
717,74.321632
718,74.582817
719,74.090347
720,74.396255
721,74.142586
722,73.433754
723,72.971161
724,72.60553
725,71.598282
726,72.217575
727,72.031067
728,72.217575
729,72.001198
730,72.404106
731,72.239937
732,72.254837
733,71.919106
734,71.96386
735,70.576065
736,70.531326
737,69.434517
738,68.054192
739,69.613571
740,68.5093
741,68.979378
742,69.680725
743,69.27784
744,68.360092
745,67.912415
746,68.13623
747,68.472008
748,68.934586
749,69.218132
750,69.151001
751,68.882401
752,68.524254
753,68.919655
754,70.28508
755,70.27018
